tabla,key,label,modo_sugerido,uso,nombre_visible_sugerido
config.parametro_sistema,parametro_id,clave,lectura_escritura,Configuración funcional sobre tabla base,Parámetros del sistema
core.docente,docente_id,codigo_interno,lectura_escritura,Mantenimiento de docentes sobre tabla base,Docentes
core.solicitud,solicitud_id,codigo,lectura_escritura,Altas y seguimiento de solicitudes sobre tabla base,Solicitudes
appsheet.vw_parametros_editables,parametro_id,clave,solo_lectura,Panel de apoyo para parámetros editables,Panel de parámetros
core.calendario_no_lectivo,calendario_no_lectivo_id,fecha,lectura_escritura,Calendario del centro sobre tabla base,Calendario no lectivo
core.incidencia_solicitud,incidencia_id,descripcion,lectura_escritura,Incidencias de revisión sobre tabla base,Incidencias
appsheet.vw_revision_solicitudes,solicitud_id,codigo,solo_lectura,Panel de revisión de dirección,Panel de revisión
